Test port is 23999...
Primary address: 10.0.2.15...
MODE       PROTO  REUSE      ADDRESS1         ADDRESS2         -> RESULT
Listen     TCP    Port(1)    10.0.2.15        10.0.2.15        ->  Error! (Address already in use)
Listen     TCP    Port(2)    0.0.0.0          0.0.0.0          ->  Error! (Address already in use)
Listen     TCP    Port(2)    0.0.0.0          127.0.0.1        ->  Error! (Address already in use)
Listen     TCP    Port(2)    0.0.0.0          10.0.2.15        ->  Error! (Address already in use)
Listen     TCP    Port(2)    127.0.0.1        0.0.0.0          ->  Error! (Address already in use)
Listen     TCP    Port(2)    127.0.0.1        127.0.0.1        ->  Error! (Address already in use)
Listen     TCP    Port(2)    127.0.0.1        10.0.2.15        ->  OK
Listen     TCP    Port(2)    10.0.2.15        0.0.0.0          ->  Error! (Address already in use)
Listen     TCP    Port(2)    10.0.2.15        127.0.0.1        ->  OK
Listen     TCP    Port(2)    10.0.2.15        10.0.2.15        ->  Error! (Address already in use)
Listen     TCP    Port(1&2)  0.0.0.0          0.0.0.0          ->  OK
Listen     TCP    Port(1&2)  0.0.0.0          127.0.0.1        ->  OK
Listen     TCP    Port(1&2)  0.0.0.0          10.0.2.15        ->  OK
Listen     TCP    Port(1&2)  127.0.0.1        0.0.0.0          ->  OK
Listen     TCP    Port(1&2)  127.0.0.1        127.0.0.1        ->  OK
Listen     TCP    Port(1&2)  127.0.0.1        10.0.2.15        ->  OK
Listen     TCP    Port(1&2)  10.0.2.15        0.0.0.0          ->  OK
Listen     TCP    Port(1&2)  10.0.2.15        127.0.0.1        ->  OK
Listen     TCP    Port(1&2)  10.0.2.15        10.0.2.15        ->  OK
Multicast  UDP    (none)     224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    (none)     224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    (none)     224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    (none)     224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    (none)     224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    (none)     224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    (none)     224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    (none)     224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    (none)     224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Addr(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Addr(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Addr(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Addr(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Addr(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Addr(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Addr(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Addr(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Addr(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Port(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(1)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(2)    224.1.2.3        224.1.2.3        ->  Error! (Address already in use)
Multicast  UDP    Port(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Port(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Port(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Port(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Port(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Port(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Port(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Port(1&2)  224.1.2.3        224.1.2.3        ->  OK
Multicast  UDP    Port(1&2)  224.1.2.3        224.1.2.3        ->  OK
